Team,Name_Of_Player,Country,Style,Role,Matches,Innings_Bat,Runs_Scored,Bat_Avg,Bat_SR,Highest_Score,100s,50s,4s,6s
RR,Manan Vohra,India,Right-Handed Batsman,Opener,49,45,1012,23.53,131.77,95,0,3,97,39
RR,Sanju Samson,India,Right-Handed Batsman,Wicket-Keeper,93,89,2209,27.61,130.25,102,2,10,170,89
RR,Shashank Singh,India,Right-Handed Batsman,Middle-Order,0,0,0,0,0,0,0,0,0,0
RR,Steve Smith,Australia,Right-Handed Batsman,Middle-Order,81,72,2022,37.44,128.95,101,1,8,180,49
RR,Robin Uthappa,India,Right-Handed Batsman,Wicket-Keeper,177,170,4411,28.83,130.5,87,0,24,435,156
RR,Yashasvi Jaiswal,India,Right-Handed Batsman,Opener,0,0,0,0,0,0,0,0,0,0
RR,Anuj Rawat,India,Right-Handed Batsman,Wicket-Keeper,0,0,0,0,0,0,0,0,0,0
RR,David Miller,South Africa,Left-Handed Batsman,Lower-Order,79,77,1850,34.26,138.78,101,1,9,126,87
RCB,Virat Kohli,India,Right-Handed Batsman,Middle-Order,177,169,5412,37.85,131.61,113,5,36,480,190
RCB,AB DeVilliers,South Africa,Right-Handed Batsman,Middle-Order,154,142,4395,39.95,151.24,133,3,33,357,212
RCB,Paddikkal Devdatt,India,Left-Handed Batsman,Middle-Order,0,0,0,0,0,0,0,0,0,0
RCB,GurkeertSingh Mann,India,Right-Handed Batsman,Middle-Order,33,27,440,18.33,128.65,65,0,2,47,11
RCB,Finch Aaron,Australia,Right-Handed Batsman,Opener,75,73,1737,25.93,130.7,88,0,13,176,67
RCB,Parthiv Patel,India,Left-Handed Batsman,Wicket-Keeper,139,137,2848,22.6,120.78,81,0,13,365,49
RCB,Josh Philippe,Australia,Right-Handed Batsman,Wicket-Keeper,0,0,0,0,0,0,0,0,0,0
SRH,David Warner,Australia,Left-Handed Batsman,Opener,126,126,4706,43.17,142.39,126,4,44,459,180
SRH,Jonny Bairstow,England,Right-Handed Batsman,Wicket-Keeper,10,10,445,55.62,157.24,114,1,2,48,18
SRH,Kane Williamson,New Zealand,Right-Handed Batsman,Middle-Order,41,41,1302,38.29,135.06,89,0,12,110,44
SRH,Manish Pandey,India,Right-Handed Batsman,Middle-Order,130,120,2843,29.31,120.82,114,1,15,252,75
SRH,Srivats Goswami,India,Left-Handed Batsman,Wicket-Keeper,29,19,293,16.28,100.69,52,0,1,32,3
SRH,Widddhiman Saha,India,Right-Handed Batsman,Wicket-Keeper,120,95,1765,23.85,131.13,115,1,6,160,59
SRH,Virat Singh,India,Left-Handed Batsman,Middle-Order,0,0,0,0,0,0,0,0,0,0
SRH,Priyam Garg,India,Right-Handed Batsman,Middle-Order,0,0,0,0,0,0,0,0,0,0
SRH,Abdul Samad,India,Right-Handed Batsman,Middle-Order,0,0,0,0,0,0,0,0,0,0










